"","date","city_name","province_level_region","city_type","latitude","longitude","temperature_2m_mean_c","temperature_2m_min_c","temperature_2m_max_c","apparent_temperature_max_c","precipitation_sum_mm","rain_sum_mm","wind_speed_10m_max_kmh","shortwave_radiation_sum_mj_m2","pm2_5_mean_ug_m3","pm10_mean_ug_m3","nitrogen_dioxide_mean_ug_m3","ozone_mean_ug_m3","us_aqi_daily_max","european_aqi_daily_max"
"150","2023-05-30","Shanghai","Shanghai","Municipality",31.2304,121.4737,24,21.2,28.3,31.4,0,0,17.2,16.15,21.362,31.083,52.571,9.917,150,85
"151","2023-05-31","Shanghai","Shanghai","Municipality",31.2304,121.4737,22.7,20.3,27,30.7,1.9,1.9,15.7,18.21,18.229,26.921,62.079,38,75,45
"152","2023-06-01","Shanghai","Shanghai","Municipality",31.2304,121.4737,24.1,20.3,30.3,34,0.2,0.2,20,19.44,16.471,24.104,55.392,8.917,71,42
"153","2023-06-02","Shanghai","Shanghai","Municipality",31.2304,121.4737,26,19.8,32.4,34.6,0,0,20,26.44,60.567,87.837,94.388,30.083,152,86
"154","2023-06-03","Shanghai","Shanghai","Municipality",31.2304,121.4737,23.2,20.3,26.7,26.4,0,0,18.4,19.78,27.275,43.225,68.142,45.583,154,89
"155","2023-06-04","Shanghai","Shanghai","Municipality",31.2304,121.4737,22.1,18.3,26,23.8,0,0,19.6,11.94,32.575,47.912,82.988,28.792,98,67
"156","2023-06-05","Shanghai","Shanghai","Municipality",31.2304,121.4737,23.4,19.1,29.2,31,6.3,6.3,17.9,9.12,34.354,52.75,72.85,35.625,114,67
"157","2023-06-06","Shanghai","Shanghai","Municipality",31.2304,121.4737,21.3,18,26.4,27.7,4.5,4.5,18.7,19.27,32.792,47.825,93.946,9.667,104,70
"158","2023-06-07","Shanghai","Shanghai","Municipality",31.2304,121.4737,22.2,17.5,27.1,28.9,4.1,4.1,18.1,17.14,53.083,76.5,77.604,34.042,153,88
"159","2023-06-08","Shanghai","Shanghai","Municipality",31.2304,121.4737,25.4,21.6,31.7,35.3,4,4,22.3,22.32,112.033,160.471,123.65,21.583,187,126
"160","2023-06-09","Shanghai","Shanghai","Municipality",31.2304,121.4737,27.2,21.5,34,36.6,0,0,17.5,24.17,105.821,151.4,118.854,33.542,201,141
"161","2023-06-10","Shanghai","Shanghai","Municipality",31.2304,121.4737,26.3,21.3,32.1,35.6,0.2,0.2,19.5,23.57,52.404,75.817,58.75,58.167,186,125
"162","2023-06-11","Shanghai","Shanghai","Municipality",31.2304,121.4737,24.5,21.2,28.8,32,0.3,0.3,17.9,19.07,22.429,33.658,60.729,48.875,142,82
"163","2023-06-12","Shanghai","Shanghai","Municipality",31.2304,121.4737,23.9,21.1,27.3,29.5,0.4,0.4,17.4,19.26,11.846,17.771,54.604,20.667,76,51
"164","2023-06-13","Shanghai","Shanghai","Municipality",31.2304,121.4737,22.7,20.3,25.7,27.4,3.1,3.1,16.3,8.05,18.317,27.267,64.438,15.833,66,39
"165","2023-06-14","Shanghai","Shanghai","Municipality",31.2304,121.4737,24.1,19.5,30.7,35.4,9.9,9.9,17.1,21.99,90.875,131.129,102.154,23.167,174,111
"166","2023-06-15","Shanghai","Shanghai","Municipality",31.2304,121.4737,25.2,19.5,31.7,33.2,0,0,16.6,25.42,87.638,127.671,119.608,29.958,192,132
"167","2023-06-16","Shanghai","Shanghai","Municipality",31.2304,121.4737,24.4,20.1,29.5,30.8,1,1,16.4,13.76,75.925,111.988,87.842,35.875,173,110
"168","2023-06-17","Shanghai","Shanghai","Municipality",31.2304,121.4737,22.3,20.5,24.3,25.3,5.1,5.1,20,5.61,13.958,21.5,62.125,42.667,165,101
"169","2023-06-18","Shanghai","Shanghai","Municipality",31.2304,121.4737,23.6,22.1,26.4,31.1,27.4,27.4,13.5,6.19,26.692,38.267,75.513,9.75,81,60
"170","2023-06-19","Shanghai","Shanghai","Municipality",31.2304,121.4737,24.1,22.3,26.3,29.7,64.5,64.5,19.7,7.59,57,81.883,82.333,11.292,152,87
"171","2023-06-20","Shanghai","Shanghai","Municipality",31.2304,121.4737,26.7,23.5,30.4,34.4,2.1,2.1,17.5,19.69,59.558,85.225,109.563,12.5,161,97
