"","X","sale_id","pinx","sale_date","sale_price","sale_nbr","sale_warning","join_status","join_year","latitude","longitude","area","city","zoning","subdivision","present_use","land_val","imp_val","year_built","year_reno","sqft_lot","sqft","sqft_1","sqft_fbsmt","grade","fbsmt_grade","condition","stories","beds","bath_full","bath_3qtr","bath_half","garb_sqft","gara_sqft","wfnt","golf","greenbelt","noise_traffic","view_rainier","view_olympics","view_cascades","view_territorial","view_skyline","view_sound","view_lakewash","view_lakesamm","view_otherwater","view_other","submarket"
"20944",543502,"2022..32764","..3260810360",2022-11-08,685950,2,"   ","new",2022,47.348104652845,-122.303380145915,26,"FEDERAL WAY","RS7.2","HERITAGE WOODS DIV 2",2,180000,490000,1999,0,8549,2700,1400,0,8,0,3,2,3,2,0,1,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I"
"20945",543503,"2022..32765","..8141300060",2022-11-09,567777,4,"   ","new",2022,47.1951522748818,-121.975127035253,41,"ENUMCLAW","PUD","SUNTOP FARMS DIV NO. 1",2,0,0,2018,0,4800,2200,910,0,7,0,3,2,4,2,0,1,0,420,0,0,0,0,3,0,2,0,0,0,0,0,0,0,"M"
"20946",543504,"2022..32766","..6699000140",2022-11-10,585000,4,"   ","new",2022,47.3703539269405,-122.105524558979,86,"COVINGTON","R6","PEARL JONES",2,257000,433000,2002,0,6662,3190,1350,0,8,0,3,2,4,2,0,1,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"K"
"20947",543505,"2022..32776","..9834201299",2022-11-11,630000,2,"   ","new",2022,47.5707815307733,-122.2874005333,79,"SEATTLE","LR2 (M)","YORK ADD",29,228000,401000,2016,0,1102,1540,520,500,8,8,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"E"
"20948",543506,"2022..32777","..2909310070",2022-11-08,580000,3,"   ","new",2022,47.2820077686129,-122.356813319456,54,"FEDERAL WAY","RS9.6","GREENS THE",2,160000,422000,2010,0,5200,1850,700,0,7,0,3,2,4,2,0,1,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I"
"20949",543507,"2022..32784","..7237450160",2022-11-07,770000,4,"   ","new",2022,47.3560931587665,-122.062180241035,56,"MAPLE VALLEY","R-6","RESERVE AT MAPLE VALLEY THE",2,218000,558000,2014,0,4449,2710,1160,0,8,0,3,2,5,2,1,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"M"
"20950",543508,"2022..32787","..8807900226",2022-11-04,1650000,4,"   ","new",2022,47.6338317834793,-122.341923611314,12,"SEATTLE","NC3P-55 (M)","UNION LAKE SUPL",29,315000,1204000,2019,0,974,2220,660,0,10,0,3,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"D"
"20951",543509,"2022..32788","..0993001416",2022-11-03,635000,4,"   ","new",2022,47.6918930921316,-122.340880501955,6,"SEATTLE","LR2 (M)","BOULEVARD PLACE ADD",29,213000,440000,2004,0,1336,1530,600,310,8,8,3,2,3,1,2,1,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B"
"20952",543510,"2022..32792","..5694500877",2022-11-07,740000,1,"   ","new",2022,47.6607163489881,-122.345776839858,43,"SEATTLE","LR2 (M)","MOTOR LINE 3RD ADD",29,255000,509000,2022,0,856,1010,340,330,8,8,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B"
"20953",543511,"2022..32803","..1180000601",2022-11-09,1023000,2,"   ","new",2022,47.5013104834381,-122.225799008876,25,"KING COUNTY","R6","BRYN MAWR ADD",2,223000,881000,2022,0,3217,2669,580,0,8,0,3,3,5,2,1,1,0,533,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"J"
